idx,img_path,GT,pred,ok,len_err,len_gt,len_pred
123,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0253927203065-94_82-243&503_538&612-514&620_276&570_266&488_504&538-0_7_22_1_27_27_32-37-13_emb_使662417.jpg,使662417,使62417,0,1,7,6
124,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0189331896552-90_85-166&540_437&627-450&624_176&627_150&538_424&535-0_0_7_29_22_24_30-75-20_emb_使029756.jpg,使029756,使029756,1,0,7,7
125,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0193330938697-90_88-182&531_431&624-433&614_186&615_192&534_439&533-0_0_7_29_30_27_29-69-200_emb_使450573.jpg,使450573,使450573,1,0,7,7
126,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0347808908046-90_56-87&478_537&578-536&575_150&571_59&484_445&488-0_0_4_27_25_33_7-105-92_emb_使029709.jpg,使029709,使029709,1,0,7,7
127,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0226065613027-94_78-190&579_445&684-456&702_196&665_177&575_437&612-0_0_16_7_30_30_27-142-42_emb_使288011.jpg,使288011,使288011,1,0,7,7
128,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0660632183908-84_95-136&517_512&693-512&636_155&701_159&573_516&508-0_0_32_31_31_24_29-52-165_emb_使761778.jpg,使761778,使76178,0,1,7,6
129,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0335404693486-98_80-187&482_460&607-467&615_189&565_184&477_462&527-0_0_29_29_26_12_31-151-80_emb_使003860.jpg,使003860,使003860,1,0,7,7
130,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0159219348659-91_92-211&493_459&573-466&579_209&589_206&505_463&495-0_0_19_32_19_26_27-76-10_emb_使277351.jpg,使277351,使277351,1,0,7,7
131,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0175167624521-91_86-250&493_466&582-473&580_254&566_237&487_456&501-16_7_23_23_33_32_32-123-76_emb_使759926.jpg,使759926,使759926,1,0,7,7
132,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0406321839081-91_84-157&445_527&572-540&582_147&574_155&442_548&450-0_0_10_27_29_25_24-90-92_emb_使502739.jpg,使502739,使502739,1,0,7,7
133,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/021099137931-90_88-240&493_515&588-516&587_243&582_237&500_510&505-0_0_24_24_16_26_24-78-21_emb_使782388.jpg,使782388,使782388,1,0,7,7
134,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0561063218391-99_66-171&428_522&590-524&608_183&531_157&415_498&492-0_0_25_24_32_5_32-129-198_emb_使754893.jpg,使754893,使754893,1,0,7,7
135,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0219109195402-89_90-228&441_497&529-511&512_229&534_224&451_506&429-0_0_23_24_32_31_12-133-26_emb_使444254.jpg,使444254,使444254,1,0,7,7
136,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0260536398467-89_87-199&411_488&510-507&502_213&499_202&417_496&420-0_0_4_31_32_33_32-134-157_emb_使060516.jpg,使060516,使060516,1,0,7,7
137,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/013433908046-90_92-317&402_546&489-543&487_317&486_321&407_547&408-0_0_13_13_29_29_26-164-49_emb_使147664.jpg,使147664,使147664,1,0,7,7
138,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0381465517241-97_64-178&490_487&623-493&624_200&574_170&480_463&530-0_0_6_3_25_31_30-126-126_emb_使108332.jpg,使108332,使108332,1,0,7,7
139,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0542289272031-83_95-209&510_571&667-577&610_212&671_215&553_580&492-2_14_19_29_24_26_26-148-152_emb_使980790.jpg,使980790,使980790,1,0,7,7
140,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0366343390805-90_91-237&485_576&596-574&594_245&596_243&485_572&483-0_0_11_27_10_27_25-142-37_emb_使338611.jpg,使338611,使338611,1,0,7,7
141,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/015-90_86-134&500_372&572-366&573_129&581_128&501_365&493-0_0_21_29_33_33_22-134-45_emb_使311819.jpg,使311819,使311819,1,0,7,7
142,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0239224137931-90_84-193&482_479&583-474&572_188&580_190&488_476&480-0_0_9_27_32_32_2-117-41_emb_使140666.jpg,使140666,使140666,1,0,7,7
143,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0455435823755-104_72-205&416_503&575-509&601_203&513_200&414_506&502-0_0_2_16_25_24_28-112-20_emb_使711788.jpg,使711788,使711788,1,0,7,7
144,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/017653256705-95_85-293&438_509&536-504&536_285&502_283&429_502&463-0_0_24_27_2_26_27-185-27_emb_使795912.jpg,使795912,使795912,1,0,7,7
145,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/034061302682-85_92-245&532_509&665-523&629_242&664_247&549_528&514-0_0_6_6_28_33_32-116-60_emb_使272255.jpg,使272255,使272255,1,0,7,7
146,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0157207854407-91_86-272&426_494&512-492&513_267&508_272&425_497&430-0_3_26_24_29_25_27-143-32_emb_使662799.jpg,使662799,使662799,1,0,7,7
147,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0136578065134-90_91-239&501_444&575-444&576_245&572_253&497_452&501-0_0_1_25_28_32_1-59-12_emb_使911779.jpg,使911779,使9179,0,1,7,5
148,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0157028256705-90_89-198&488_443&550-447&560_207&562_202&482_442&480-0_0_5_29_25_24_24-126-14_emb_使572229.jpg,使572229,使572229,1,0,7,7
149,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0361302681993-91_88-158&511_509&611-513&616_166&613_168&503_515&506-10_4_8_30_24_2_25-108-28_emb_使561188.jpg,使561188,使561188,1,0,7,7
150,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0191762452107-89_96-181&446_407&546-403&523_192&541_206&459_417&441-0_0_2_26_0_25_33-78-18_emb_使712867.jpg,使712867,使712867,1,0,7,7
151,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0180962643678-89_85-176&377_445&449-456&458_171&455_170&366_455&369-0_0_12_11_33_29_31-146-61_emb_使177211.jpg,使177211,使177211,1,0,7,7
152,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00624640804598-89_86-249&489_407&541-412&543_247&544_240&489_405&488-0_0_14_8_29_24_33-132-17_emb_使345752.jpg,使345752,使345752,1,0,7,7
153,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0157231800766-90_91-268&402_477&476-478&469_274&478_284&399_488&390-0_0_26_27_28_0_24-150-33_emb_使059419.jpg,使059419,使059419,1,0,7,7
154,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0167528735633-90_90-241&457_469&560-474&551_239&546_243&463_478&468-0_0_10_32_25_33_17-86-16_emb_使541935.jpg,使541935,使541935,1,0,7,7
155,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0133081896552-91_82-207&457_420&525-426&532_206&518_190&443_410&457-0_0_18_6_30_30_33-24-11_emb_使213620.jpg,使213620,使213620,1,0,7,7
156,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0183141762452-92_68-221&503_471&595-489&593_239&569_208&492_458&516-0_0_30_33_9_29_27-96-50_emb_使579362.jpg,使579362,使579362,1,0,7,7
157,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0311159003831-90_92-276&498_583&612-582&605_278&606_289&507_593&506-26_0_16_27_24_6_31-102-56_emb_使711278.jpg,使711278,使711278,1,0,7,7
158,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0370785440614-94_81-333&401_665&518-666&527_322&496_315&395_659&426-0_0_2_29_27_29_18-160-165_emb_使089585.jpg,使089585,使089585,1,0,7,7
159,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00931034482759-91_87-340&435_514&493-506&493_346&487_347&434_507&440-0_0_4_30_32_30_1-111-77_emb_使746027.jpg,使746027,使746027,1,0,7,7
160,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0327274904214-90_86-222&504_571&607-574&605_238&605_236&506_572&506-0_0_4_2_33_32_24-117-145_emb_使488458.jpg,使488458,使488458,1,0,7,7
161,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0218390804598-91_86-217&470_475&569-488&567_209&551_209&452_488&468-0_0_8_24_28_31_31-107-28_emb_使905988.jpg,使905988,使905988,1,0,7,7
162,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0231681034483-88_88-235&518_489&613-495&604_241&616_235&518_489&506-0_7_9_25_5_30_32-180-46_emb_使859517.jpg,使859517,使859517,1,0,7,7
163,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0115181992338-90_90-309&479_514&556-504&546_315&545_319&485_508&486-0_0_11_8_31_31_33-85-15_emb_使181969.jpg,使181969,使181969,1,0,7,7
164,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00377155172414-93_83-329&552_425&610-421&609_328&596_321&542_414&555-0_0_24_30_26_24_32-104-14_emb_使219249.jpg,使219249,使2925,0,1,7,5
165,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/033125-98_81-94&429_373&568-381&571_97&512_95&421_379&480-0_0_1_30_24_32_33-146-56_emb_使730458.jpg,使730458,使730458,1,0,7,7
166,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0145498084291-90_86-250&495_454&560-455&563_250&569_255&493_460&487-0_0_8_23_26_25_31-125-26_emb_使970333.jpg,使970333,使97033,0,1,7,6
167,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0167456896552-89_89-388&431_625&506-633&514_380&518_377&435_630&431-0_0_15_15_24_30_31-113-16_emb_使548852.jpg,使548852,使548852,1,0,7,7
168,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0158117816092-89_86-171&489_410&552-415&558_190&560_175&487_400&485-0_0_16_25_27_30_31-91-15_emb_使643890.jpg,使643890,使643890,1,0,7,7
169,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0325574712643-96_73-253&411_540&528-568&540_265&501_229&397_532&436-0_11_2_13_32_32_32-200-29_emb_使375026.jpg,使375026,使375026,1,0,7,7
170,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0158237547893-90_85-262&403_504&474-501&479_263&484_264&396_502&391-0_0_6_29_30_27_13-163-43_emb_使976794.jpg,使976794,使976794,1,0,7,7
171,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0269576149426-92_70-173&446_474&545-482&549_204&526_162&438_440&461-0_9_21_26_30_30_17-67-27_emb_使365236.jpg,使365236,使365236,1,0,7,7
172,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0208381226054-94_85-219&528_491&630-481&633_237&611_249&525_493&547-0_0_1_2_32_32_24-65-23_emb_使813418.jpg,使813418,使813418,1,0,7,7
173,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0186170977012-94_80-180&364_414&471-421&469_188&442_176&365_409&392-10_4_26_32_33_6_13-136-58_emb_使762114.jpg,使762114,使762114,1,0,7,7
174,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/033909243295-78_102-221&458_466&607-455&544_236&603_245&514_464&455-0_0_16_0_33_32_29-79-181_emb_使199334.jpg,使199334,使199334,1,0,7,7
175,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/100550766283-87_88-108&457_624&632-620&610_130&648_102&482_592&444-0_0_7_31_21_32_31-93-336_emb_使647951.jpg,使647951,使647951,1,0,7,7
176,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/018911637931-86_89-315&463_536&560-546&539_317&564_311&478_540&453-0_0_21_10_29_28_30-165-54_emb_使660786.jpg,使660786,使660786,1,0,7,7
177,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0185225095786-100_64-170&479_371&569-370&588_182&537_161&466_349&517-0_0_17_33_25_30_17-70-23_emb_使837015.jpg,使837015,使837015,1,0,7,7
178,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0358620689655-89_89-206&567_537&685-529&665_227&680_217&568_519&553-0_0_24_29_32_19_30-138-57_emb_使579964.jpg,使579964,使579964,1,0,7,7
179,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/013584770115-91_87-203&485_392&565-399&563_204&560_208&483_403&486-0_0_8_27_27_29_6-135-29_emb_使710703.jpg,使710703,使710703,1,0,7,7
180,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0190732758621-90_75-289&454_574&526-575&543_295&533_274&446_554&456-0_0_0_29_29_30_32-78-14_emb_使989093.jpg,使989093,使989093,1,0,7,7
181,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0223060344828-89_93-275&482_515&569-517&563_278&574_283&478_522&467-19_1_15_32_24_19_30-202-17_emb_使914738.jpg,使914738,使914738,1,0,7,7
182,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/01811302682-90_88-185&439_465&507-471&518_192&521_188&441_467&438-0_0_20_30_26_27_22-59-33_emb_使578895.jpg,使578895,使578895,1,0,7,7
183,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0129310344828-90_85-264&502_475&583-485&577_265&576_255&503_475&504-0_0_1_25_18_24_29-127-41_emb_使979854.jpg,使979854,使979854,1,0,7,7
184,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0225862068966-90_91-255&495_540&580-529&583_256&575_255&491_528&499-0_0_3_30_10_30_25-134-85_emb_使057195.jpg,使057195,使057195,1,0,7,7
185,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0272294061303-87_94-220&478_520&565-522&572_213&582_219&471_528&461-0_0_22_26_25_28_25-158-17_emb_使555276.jpg,使555276,使555276,1,0,7,7
186,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0150143678161-90_85-131&612_369&691-383&688_146&683_131&617_368&622-0_0_24_20_24_27_24-156-59_emb_使454058.jpg,使454058,使454058,1,0,7,7
187,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0281609195402-88_86-189&450_512&548-523&538_183&555_184&456_524&439-0_5_16_20_31_31_31-167-75_emb_使027679.jpg,使027679,使027679,1,0,7,7
188,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0365038314176-93_83-205&469_514&606-510&607_201&574_194&468_503&501-0_0_8_27_3_30_32-130-100_emb_使349048.jpg,使349048,使349048,1,0,7,7
189,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0126939655172-89_85-244&407_458&465-460&471_237&474_238&400_461&397-0_0_2_24_25_30_13-132-40_emb_使185007.jpg,使185007,使185007,1,0,7,7
190,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00747126436781-90_89-306&499_474&553-478&549_305&551_306&496_479&494-0_0_23_11_26_26_33-139-26_emb_使068961.jpg,使068961,使068961,1,0,7,7
191,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0434985632184-89_93-235&507_590&610-588&612_240&624_249&511_597&499-0_0_30_32_31_32_31-61-46_emb_使895159.jpg,使895159,使895159,1,0,7,7
192,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/022808908046-89_90-52&338_332&419-336&420_70&421_61&335_327&334-0_0_3_26_30_30_20-132-97_emb_使492493.jpg,使492493,使492493,1,0,7,7
193,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0127083333333-89_88-222&487_404&569-415&562_223&571_222&496_414&487-0_0_1_31_21_29_29-90-39_emb_使375298.jpg,使375298,使375298,1,0,7,7
194,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0354525862069-95_71-180&403_486&527-483&535_196&495_170&394_457&434-0_0_10_25_18_24_25-131-46_emb_使193067.jpg,使193067,使193067,1,0,7,7
195,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0197449712643-90_83-206&493_476&576-463&585_216&574_192&489_439&500-0_0_7_7_30_32_24-159-36_emb_使384182.jpg,使384182,使384182,1,0,7,7
196,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0384590517241-90_85-157&464_574&568-574&560_175&565_180&464_579&459-0_0_23_32_12_31_31-78-26_emb_使527086.jpg,使527086,使527086,1,0,7,7
197,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0110201149425-90_90-289&490_482&561-474&554_291&555_293&494_476&493-0_12_16_13_33_33_30-92-31_emb_使068476.jpg,使068476,使068476,1,0,7,7
198,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0280076628352-92_87-68&351_377&457-368&460_65&437_62&336_365&359-0_0_22_33_24_26_32-121-95_emb_使931987.jpg,使931987,使931987,1,0,7,7
199,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0274904214559-89_84-226&425_535&537-546&539_226&551_204&444_524&432-0_0_9_25_26_30_15-154-45_emb_使887552.jpg,使887552,使887552,1,0,7,7
200,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0247222222222-88_91-344&380_594&489-592&470_344&488_349&386_597&368-0_0_25_7_29_30_31-67-28_emb_使651771.jpg,使651771,使65171,0,1,7,6
201,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0082974137931-89_88-275&452_437&512-442&519_265&519_270&461_447&461-0_0_21_29_30_33_20-43-20_emb_使143437.jpg,使143437,使143437,1,0,7,7
202,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0333908045977-88_87-162&483_519&588-537&569_182&584_160&493_515&478-0_0_2_15_24_32_24-85-77_emb_使202185.jpg,使202185,使202185,1,0,7,7
203,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/014534243295-91_85-211&510_423&575-416&579_214&568_214&505_416&516-0_0_2_29_27_33_8-124-41_emb_使579772.jpg,使579772,使579772,1,0,7,7
204,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0154094827586-90_83-250&580_512&652-505&645_250&666_250&591_505&570-0_0_15_8_24_29_33-111-41_emb_使182593.jpg,使182593,使182593,1,0,7,7
205,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/037338362069-90_90-127&451_583&559-590&588_122&581_129&434_597&441-0_0_32_22_31_26_24-125-178_emb_使691273.jpg,使691273,使691273,1,0,7,7
206,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00867456896552-90_89-277&495_444&552-446&546_275&550_275&496_446&492-0_0_27_9_24_27_27-99-24_emb_使999946.jpg,使999946,使999946,1,0,7,7
207,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0393103448276-98_70-140&431_455&581-457&593_148&518_131&413_440&488-0_0_12_32_26_26_20-155-98_emb_使476941.jpg,使476941,使476941,1,0,7,7
208,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0477011494253-92_84-220&590_583&722-592&736_209&713_220&587_603&610-10_2_33_24_33_12_14-128-93_emb_使011050.jpg,使011050,使011050,1,0,7,7
209,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00915349616858-87_90-427&299_581&363-577&345_441&364_434&313_570&294-0_0_11_1_33_25_27-87-21_emb_使245137.jpg,使245137,使245137,1,0,7,7
210,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00853448275862-89_88-210&506_395&566-397&560_211&561_208&499_394&498-0_0_22_0_26_30_27-129-16_emb_使976872.jpg,使976872,使976872,1,0,7,7
211,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0176484674329-91_89-254&405_481&488-490&485_260&485_263&406_493&406-0_0_25_0_29_28_27-158-34_emb_使536984.jpg,使536984,使536984,1,0,7,7
212,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0200191570881-93_87-195&515_434&605-428&608_210&582_205&507_423&533-16_8_30_6_30_28_31-53-13_emb_使752211.jpg,使752211,使752211,1,0,7,7
213,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0195450191571-94_79-194&511_421&613-425&609_206&588_193&510_412&531-0_0_31_32_32_4_33-44-55_emb_使053639.jpg,使053639,使053639,1,0,7,7
214,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00380747126436-89_91-291&493_410&534-406&533_287&539_285&500_404&494-0_0_32_16_30_30_30-113-27_emb_使407421.jpg,使407421,使407421,1,0,7,7
215,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0381345785441-92_86-197&422_542&539-545&546_200&525_200&408_545&429-0_0_0_29_33_31_23-103-82_emb_使717195.jpg,使717195,使717195,1,0,7,7
216,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0459913793103-81_105-144&459_440&592-431&541_147&592_173&496_457&445-0_0_11_33_32_25_15-108-138_emb_使937724.jpg,使937724,使937724,1,0,7,7
217,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0256393678161-94_88-170&504_445&610-438&609_173&580_170&498_435&527-0_0_31_31_10_31_30-80-10_emb_使849531.jpg,使849531,使849531,1,0,7,7
218,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0162045019157-93_80-188&363_393&444-416&458_184&437_168&359_400&380-0_0_16_17_28_25_30-104-39_emb_使539376.jpg,使539376,使539376,1,0,7,7
219,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/030625-94_81-148&483_467&600-484&597_161&574_149&491_472&514-0_0_4_12_27_27_29-90-43_emb_使316168.jpg,使316168,使316168,1,0,7,7
220,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0313864942529-96_74-218&443_482&570-492&570_227&528_211&435_476&477-0_0_11_26_31_30_29-59-23_emb_使539429.jpg,使539429,使539429,1,0,7,7
221,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/063752394636-79_99-220&458_589&639-584&563_238&637_230&528_576&454-0_0_10_22_26_24_24-105-65_emb_使964833.jpg,使964833,使964833,1,0,7,7
222,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0396551724138-85_97-134&488_454&616-445&583_157&618_171&499_459&464-0_0_5_31_25_31_7-153-115_emb_使576982.jpg,使576982,使576982,1,0,7,7
223,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0299149904214-95_81-255&458_523&569-526&584_253&549_248&460_521&495-0_0_32_7_24_28_33-120-168_emb_使700628.jpg,使700628,使700628,1,0,7,7
224,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/021724137931-89_89-272&461_508&550-522&545_297&568_281&468_506&445-0_0_7_19_29_24_31-165-85_emb_使076672.jpg,使076672,使07667,0,1,7,6
225,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0139583333333-90_88-320&441_504&525-504&524_320&518_325&442_509&448-0_0_15_27_27_26_32-163-19_emb_使236629.jpg,使236629,使2629,0,1,7,5
226,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0194971264367-91_75-150&514_395&603-386&600_168&594_149&513_367&519-0_0_1_29_27_24_0-70-29_emb_使438746.jpg,使438746,使438746,1,0,7,7
227,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0257004310345-93_89-245&315_541&409-549&414_264&396_263&313_548&331-0_0_1_3_30_33_25-107-45_emb_使670665.jpg,使670665,使670665,1,0,7,7
228,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0181992337165-97_79-267&459_482&555-479&557_265&528_255&456_469&485-0_0_33_27_32_19_26-158-78_emb_使874460.jpg,使874460,使874460,1,0,7,7
229,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0491379310345-90_83-146&450_585&578-583&587_152&585_156&441_587&443-0_0_16_7_30_30_29-158-299_emb_使582763.jpg,使582763,使582763,1,0,7,7
230,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0179370210728-91_88-346&503_574&583-568&589_350&585_354&500_572&504-0_0_32_12_24_31_25-100-18_emb_使858202.jpg,使858202,使858202,1,0,7,7
231,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0153376436781-88_91-274&523_464&600-467&582_286&600_283&532_464&514-0_0_2_21_31_32_31-138-33_emb_使440706.jpg,使440706,使40706,0,1,7,6
232,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0385751915709-90_85-136&307_512&411-523&434_130&411_130&298_523&321-0_0_24_6_26_32_32-110-106_emb_使930025.jpg,使930025,使930025,1,0,7,7
233,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0285668103448-96_74-158&314_413&430-429&434_180&394_155&300_404&340-0_0_24_25_27_14_25-73-23_emb_使623729.jpg,使623729,使623729,1,0,7,7
234,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0121743295019-92_80-286&441_472&512-485&516_284&503_278&435_479&448-0_0_21_33_25_32_29-118-33_emb_使856459.jpg,使856459,使856459,1,0,7,7
235,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0218474616858-90_96-276&450_544&535-549&536_279&534_284&451_554&453-0_0_1_16_28_26_31-138-28_emb_使219833.jpg,使219833,使219833,1,0,7,7
236,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0296192528736-89_91-253&453_552&567-569&553_255&590_254&467_568&430-0_0_23_32_17_25_32-159-60_emb_使540805.jpg,使540805,使5400805,0,1,7,8
237,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0240229885057-94_88-153&398_397&499-399&500_144&469_148&382_403&413-0_0_13_33_25_29_12-119-28_emb_使178931.jpg,使178931,使178931,1,0,7,7
238,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0118295019157-90_88-224&462_431&537-428&534_235&532_236&468_429&470-0_0_11_20_30_27_25-85-26_emb_使131696.jpg,使131696,使131696,1,0,7,7
239,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/016570881226-86_95-213&404_397&506-399&477_217&520_228&441_410&398-0_0_11_33_9_26_32-160-53_emb_使024078.jpg,使024078,使024078,1,0,7,7
240,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0213146551724-90_87-167&442_442&532-448&526_186&520_182&445_444&451-0_0_31_25_25_19_25-69-63_emb_使124956.jpg,使124956,使124956,1,0,7,7
241,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0223814655172-89_84-209&476_498&563-522&568_212&570_189&477_499&475-0_0_5_26_5_25_32-105-70_emb_使733902.jpg,使733902,使733902,1,0,7,7
242,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0239307950191-91_92-267&461_531&565-527&568_270&551_283&447_540&464-0_0_28_21_26_27_29-111-64_emb_使757148.jpg,使757148,使757148,1,0,7,7
243,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0344300766283-90_88-131&453_489&552-503&556_145&558_157&443_515&441-0_0_22_31_7_32_26-154-88_emb_使463359.jpg,使463359,使463359,1,0,7,7
244,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0312212643678-90_84-167&577_504&671-503&687_157&690_158&574_504&571-0_0_33_32_32_20_33-144-156_emb_使266298.jpg,使266298,使266298,1,0,7,7
245,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0296695402298-91_84-185&487_520&592-500&600_189&584_195&489_506&505-0_0_20_25_8_25_28-58-33_emb_使799649.jpg,使799649,使799649,1,0,7,7
